time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,3.33731249574e-08,-7.84465339207e-08,0.00182393697466,6.28303042058,6.28313457198,0.0,3.49899218374e-06,-9.51005966172e-06,0.0607960242783,-0.0083217890223,-0.00259292814817,0.0,424.31625678369676,424.0936605923751,424.71080521814497,423.99664143999183
0.12000000000000001,2.25573888162e-06,-6.30412574039e-06,0.0117765668435,6.28276240891,6.28277030723,0.0,0.000100018108378,-0.00024229083095,0.270931311871,0.00230270745423,-0.0141385181059,0.0,471.070108829935,470.1767255282321,470.0895066019986,470.9119998390038
0.18,2.24626837732e-05,-3.065932515e-05,0.0350156282321,6.28286882336,6.28171061749,0.0,0.000688178245005,-0.000554615385013,0.503630037382,0.000693644300937,-0.0258499292456,0.0,477.2891576588089,476.3947304291225,477.73449526760703,477.61177270615536
0.23999999999999996,0.000103551772879,-7.05896160163e-05,0.0704107537929,5.30830259358e-05,6.28051139144,0.0,0.00216739508732,-0.000751184885304,0.676120573468,0.0153109450482,-0.0102820354654,0.0,459.2907330445972,460.5236050897436,458.7442776805884,459.9032487554049
0.3,0.000283015872781,-0.000111762895908,0.111066064808,0.000846267891697,6.27997380616,0.0,0.00386521567033,-0.00054592825625,0.679054523123,0.00866996493671,-0.0064382962159,0.0,404.9659908105496,405.3116516384959,405.99072100544777,405.3944206868113
0.36000000000000004,0.000584119978017,-0.000124114549874,0.155198444496,0.00182924730017,6.27938717875,0.0,0.00622084615619,0.000215649950466,0.791952630088,0.0285236975102,-0.0174687058263,0.0,441.45116378919977,440.5402802941746,441.1175944532857,442.7537507095107
0.4200000000000001,0.00104656163177,-6.22400211109e-05,0.207617066318,0.0039514917535,6.27895300271,0.0,0.00926997127254,0.00206300701583,0.955211417207,0.0463994363192,0.00787592334956,0.0,456.0690251481931,458.0886604546296,456.5891014907288,458.0133064222985
0.48000000000000015,0.00169540648157,0.000161372257038,0.269643161196,0.00650307628117,6.2789954245,0.0,0.0123219096134,0.00568629003172,1.11218398432,0.033367542936,-0.0202009918995,0.0,456.5357341762497,454.29025920531245,456.21441809862523,455.17373984997624
0.5400000000000001,0.00252019479313,0.000636063415271,0.338071296806,0.00893194660498,6.27773043993,0.0,0.0152890836109,0.010350797806,1.16869537281,0.0518565049264,-0.022908138523,0.0,424.5815308372994,424.34921569914565,423.02880956593015,424.6186242559899
0.6000000000000002,0.0035549983859,0.00145308911001,0.411131043522,0.0121986361345,6.27650058804,0.0,0.0193357831765,0.0172071045198,1.26652181837,0.0591734080372,-0.01606677501,0.0,437.5612793640991,438.1303924462079,437.0493692152191,437.66073923192226
0.6600000000000003,0.00489970131863,0.00283283047608,0.496459557516,0.0159486572429,6.27497971719,0.0,0.0256291586662,0.0292665679348,1.57737870732,0.0684364083087,-0.0599602494721,0.0,502.6997504109747,499.5090109136311,500.4133192672561,501.08939920582407
0.7200000000000003,0.0066368333719,0.00496564940678,0.595996494009,0.0200226149255,6.2719087694,0.0,0.0326397487987,0.0422786586751,1.74027374302,0.0668034015056,-0.0377450531431,0.0,458.50454342007674,460.26420317736734,458.42528235708033,458.2988284942364
0.7800000000000004,0.00886406836083,0.00797971095945,0.705742552979,0.0236869528899,6.26922035897,0.0,0.0418719611185,0.0586233852684,1.917634382,0.0460147839494,-0.0652109824825,0.0,464.88764678419756,462.72940544580825,464.5239505671692,462.89341769645506
0.8400000000000004,0.0116829009857,0.0120023278892,0.824021107325,0.0262299317119,6.26556894076,0.0,0.0524750373685,0.0757337054436,2.0247865885,0.0338982272674,-0.0533290441596,0.0,442.81779388434336,443.7913834074112,442.8568512199168,441.86012315399296
0.9000000000000005,0.015176646962,0.0170509249506,0.946797897826,0.028608838208,6.26213255321,0.0,0.0642908251537,0.0927587287983,2.06768355248,0.04919604222,-0.0666323242107,0.0,423.21882237094223,422.06978533597606,421.87430036779944,423.1939285109676
0.9600000000000005,0.0194529621433,0.0231773663171,1.07243185745,0.0311018056693,6.25855531822,0.0,0.0786079409847,0.111718732454,2.12000164856,0.0183141567934,-0.0483790841159,0.0,425.3000868295271,426.8577362050751,427.01492542546873,424.3733763109382
1.0200000000000005,0.0245726107708,0.0303820626286,1.19799034937,0.0317413973388,6.2558763362,0.0,0.0922696194005,0.128515474632,2.0653722452,-0.012626831518,-0.0380774652148,0.0,388.8934231065815,389.85564431040996,391.2735455353126,388.3823864337736
1.0800000000000005,0.0307267559122,0.0387991779748,1.32653715505,0.032151030923,6.25390992701,0.0,0.113092329227,0.152042942537,2.21922631395,0.0303467752038,-0.0238534682953,0.0,457.1910268731707,458.3224460591537,456.4133830894578,459.8301704565001
1.1400000000000006,0.0380863195623,0.0485531632665,1.46146343061,0.0334850294662,6.25280057479,0.0,0.13234290041,0.173245907119,2.27818866203,-0.00358854016874,-0.00948248121779,0.0,428.28495652810125,429.5054800026387,430.0612952517731,427.1774245104736
1.2000000000000006,0.0464695061845,0.0594334053405,1.59500590619,0.0337928219498,6.2521953815,0.0,0.147144529193,0.189441050462,2.17342981034,0.0185010535817,-0.0113229195883,0.0,372.57499171185,372.3951125707154,370.5441143904593,372.70927337942425
1.2600000000000007,0.0559991313563,0.071566480546,1.73029055709,0.0354090912461,6.25200462458,0.0,0.170543447013,0.215138831605,2.33573055146,0.0399688814251,0.00949660697322,0.0,460.12230905102984,461.7675751380045,460.16148798442777,461.85782567764977
